ID,Category,Topic,Difficulty,Question,Correct Answer,Choice 1,Choice 2,Choice 3,Source
75,['Music'],Taylor Swift,Easy,"On Taylor Swift's debut album, which song laments about a boy named Drew?",Teardrops on My Guitar,Mary's Song,Tied Together with a Smile,Cold As You,https://en.wikipedia.org/wiki/Teardrops_on_My_Guitar
76,"['Television', 'Pop Culture']",The Bachelor Series,Hard,Which former contestant on the Bachelor was the first Bachelorette?,Trista Sutter,Meredith Phillips,Jillian Harris,Ali Fedotowsky,https://en.wikipedia.org/wiki/The_Bachelorette_(American_TV_series)
77,"['Television', 'Sitcoms']",Friends,Hard,What is Chandler Bing's middle name?,Muriel,Maddox,Millicent,Mallory,https://en.wikipedia.org/wiki/Chandler_Bing
78,"['Television', 'Pop Culture']",The Masked Singer,Medium,Which celebrity was the very first winner of The Masked Singer?,T-Pain,Jesse McCartney,Donny Osmond,Gladys Knight,https://en.wikipedia.org/wiki/The_Masked_Singer_(American_season_1)
79,['Television'],Star Wars,Easy,What was the fan-created name lovingly given to Grogu in the Mandalorian?,Baby Yoda,Little Yoda,Yoda Jr.,Yodette,https://en.wikipedia.org/wiki/Grogu
80,['Television'],Love is Blind,Medium,"On the first season of Love is Blind, which contestant constantly brought up the age difference between her and her partner, Mark?",Jessica,Lauren,Amber,Kelly,https://en.wikipedia.org/wiki/Love_Is_Blind_(season_1)
81,"['Pop Culture', 'Music']",Coachella,Medium,In which city is the Coachella Valley Music and Arts Festival held every spring?,"Indio, CA","Riverside, CA","Palm Springs, CA","Los Angeles, CA",https://en.wikipedia.org/wiki/Coachella_(festival)
82,"['Disney', 'Movies']",Lizzie McGuire,Easy,What country did Lizzie and her friends visit on a school trip in The Lizzie McGuire Movie?,Italy,Spain,France,England,https://en.wikipedia.org/wiki/The_Lizzie_McGuire_Movie
83,"['Movies', 'Literature']",The Hunger Games,Easy,What is the name of the nation where The Hunger Games takes place?,Panem,Pangaea,Eurasia,Amecensia,https://thehungergames.fandom.com/wiki/Panem
84,"['Marvel', 'Movies']",The Avengers,Easy,Who is the Scarlet Witch's brother?,Quicksilver,Captain America,Wolverine,Magneto,https://en.wikipedia.org/wiki/Quicksilver_(Marvel_Comics)
85,"['Disney', 'Theme Parks', 'Pop Culture']",Disney Parks,Easy,Which tropical treat is served in soft-serve form in Adventureland in both domestic Disney parks?,Dole Whip,Citrus Swirl,Pineapple Passion,Rainbow Sherbert,https://en.wikipedia.org/wiki/Dole_Whip
86,['Pop Culture'],Facebook,Easy,"In the early days of Facebook, what virtual action could you take to connect with one of your friends?",Poke,Handshake,Fist Bump,Tickle,https://www.buzzfeednews.com/article/katienotopoulos/facebook-poke-someone-today
87,['Pop Culture'],90's,Easy,"What catastrophic event did society predict would occur when the calendar date flipped from December 31st, 1999 to January 1st, 2000?",Y2K,Millennium Mayhem,Millenium Scare,Cyber-Scare,https://en.wikipedia.org/wiki/Year_2000_problem
88,['Television'],Star Trek,Easy,What ship is famously captained by Captain James Kirk in the Star Trek series?,USS Enterprise,USS Truman,USS Kennedy,USS Marina,https://en.wikipedia.org/wiki/USS_Enterprise_(NCC-1701)
